method,sleepyline.cause,configIdx,test
BIS,MONITORENTER,2648,2648
BIS,MONITOREXIT,2706,2706
BIS,RUNNABLE_CALLABLE_START,1294,1294
BIS,SYNCHRONIZED_METHOD_ENTER,2276,2276
BIS,SYNCHRONIZED_METHOD_EXIT,2368,2368
BIS,java/io/OutputStream.close()V,58,58
BIS,java/io/OutputStream.flush()V,321,321
BIS,java/lang/Object.notify()V,186,186
BIS,java/lang/Object.notifyAll()V,235,235
BIS,java/lang/Object.wait()V,75,75
BIS,java/lang/Object.wait(J)V,53,53
BIS,java/lang/Object.wait(JI)V,1,1
BIS,java/lang/Runnable.run()V,339,339
BIS,java/lang/System.currentTimeMillis()J,2190,2190
BIS,java/lang/Thread.currentThread()Ljava/lang/Thread;,1501,1501
BIS,java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,103,103
BIS,java/lang/Thread.getId()J,5,5
BIS,java/lang/Thread.getName()Ljava/lang/String;,184,184
BIS,java/lang/Thread.getPriority()I,22,22
BIS,java/lang/Thread.getState()Ljava/lang/Thread$State;,2,2
BIS,java/lang/Thread.getThreadGroup()Ljava/lang/ThreadGroup;,23,23
BIS,java/lang/Thread.interrupt()V,65,65
BIS,java/lang/Thread.interrupted()Z,62,62
BIS,java/lang/Thread.isAlive()Z,25,25
BIS,java/lang/Thread.isDaemon()Z,22,22
BIS,java/lang/Thread.isInterrupted()Z,3,3
BIS,java/lang/Thread.join()V,3,3
BIS,java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,19,19
BIS,java/lang/Thread.setDaemon(Z)V,87,87
BIS,java/lang/Thread.setDefaultUncaughtExceptionHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)V,2,2
BIS,java/lang/Thread.setName(Ljava/lang/String;)V,140,140
BIS,java/lang/Thread.setPriority(I)V,22,22
BIS,java/lang/Thread.sleep(J)V,84,84
BIS,java/lang/Thread.start()V,58,58
BIS,java/lang/Thread.yield()V,54,54
BIS,java/net/ServerSocket.accept()Ljava/net/Socket;,14,14
BIS,java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,8,8
BIS,java/net/ServerSocket.close()V,46,46
BIS,java/net/ServerSocket.isBound()Z,16,16
BIS,java/net/ServerSocket.isClosed()Z,5,5
BIS,java/net/Socket.connect(Ljava/net/SocketAddress;I)V,12,12
BIS,java/nio/Buffer.limit(I)Ljava/nio/Buffer;,10,10
BIS,java/nio/Buffer.position(I)Ljava/nio/Buffer;,78,78
BIS,java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,303,303
BIS,java/nio/ByteBuffer.allocateDirect(I)Ljava/nio/ByteBuffer;,17,17
BIS,java/nio/ByteBuffer.array()[B,357,357
BIS,java/nio/ByteBuffer.arrayOffset()I,13,13
BIS,java/nio/ByteBuffer.asReadOnlyBuffer()Ljava/nio/ByteBuffer;,2,2
BIS,java/nio/ByteBuffer.compact()Ljava/nio/ByteBuffer;,5,5
BIS,java/nio/ByteBuffer.duplicate()Ljava/nio/ByteBuffer;,54,54
BIS,java/nio/ByteBuffer.equals(Ljava/lang/Object;)Z,1,1
BIS,java/nio/ByteBuffer.get()B,133,133
BIS,java/nio/ByteBuffer.get(I)B,20,20
BIS,java/nio/ByteBuffer.get([B)Ljava/nio/ByteBuffer;,14,14
BIS,java/nio/ByteBuffer.get([BII)Ljava/nio/ByteBuffer;,47,47
BIS,java/nio/ByteBuffer.getInt()I,53,53
BIS,java/nio/ByteBuffer.getInt(I)I,79,79
BIS,java/nio/ByteBuffer.getLong()J,15,15
BIS,java/nio/ByteBuffer.getShort()S,12,12
BIS,java/nio/ByteBuffer.hasArray()Z,10,10
BIS,java/nio/ByteBuffer.order()Ljava/nio/ByteOrder;,6,6
BIS,java/nio/ByteBuffer.order(Ljava/nio/ByteOrder;)Ljava/nio/ByteBuffer;,8,8
BIS,java/nio/ByteBuffer.put(B)Ljava/nio/ByteBuffer;,385,385
BIS,java/nio/ByteBuffer.put(Ljava/nio/ByteBuffer;)Ljava/nio/ByteBuffer;,19,19
BIS,java/nio/ByteBuffer.put([B)Ljava/nio/ByteBuffer;,282,282
BIS,java/nio/ByteBuffer.put([BII)Ljava/nio/ByteBuffer;,26,26
BIS,java/nio/ByteBuffer.putInt(I)Ljava/nio/ByteBuffer;,121,121
BIS,java/nio/ByteBuffer.putLong(J)Ljava/nio/ByteBuffer;,38,38
BIS,java/nio/ByteBuffer.putShort(S)Ljava/nio/ByteBuffer;,12,12
BIS,java/nio/ByteBuffer.slice()Ljava/nio/ByteBuffer;,16,16
BIS,java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,190,190
BIS,java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,333,333
BIS,java/nio/CharBuffer.allocate(I)Ljava/nio/CharBuffer;,14,14
BIS,java/nio/CharBuffer.array()[C,16,16
BIS,java/nio/CharBuffer.compact()Ljava/nio/CharBuffer;,14,14
BIS,java/nio/CharBuffer.put([CII)Ljava/nio/CharBuffer;,14,14
BIS,java/nio/CharBuffer.toString()Ljava/lang/String;,56,56
BIS,java/nio/CharBuffer.wrap([C)Ljava/nio/CharBuffer;,62,62
BIS,java/nio/channels/DatagramChannel.receive(Ljava/nio/ByteBuffer;)Ljava/net/SocketAddress;,4,4
BIS,java/nio/channels/DatagramChannel.send(Ljava/nio/ByteBuffer;Ljava/net/SocketAddress;)I,2,2
BIS,java/nio/channels/DatagramChannel.socket()Ljava/net/DatagramSocket;,6,6
BIS,java/nio/channels/FileChannel.force(Z)V,30,30
BIS,java/nio/channels/FileChannel.position()J,70,70
BIS,java/nio/channels/FileChannel.position(J)Ljava/nio/channels/FileChannel;,3,3
BIS,java/nio/channels/FileChannel.transferTo(JJLjava/nio/channels/WritableByteChannel;)J,34,34
BIS,java/nio/channels/FileChannel.tryLock(JJZ)Ljava/nio/channels/FileLock;,1,1
BIS,java/nio/channels/FileChannel.write(Ljava/nio/ByteBuffer;J)I,25,25
BIS,java/nio/channels/FileLock.channel()Ljava/nio/channels/FileChannel;,1,1
BIS,java/nio/channels/ReadableByteChannel.read(Ljava/nio/ByteBuffer;)I,102,102
BIS,java/nio/channels/SelectableChannel.configureBlocking(Z)Ljava/nio/channels/SelectableChannel;,90,90
BIS,java/nio/channels/SelectableChannel.provider()Ljava/nio/channels/spi/SelectorProvider;,81,81
BIS,java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;I)Ljava/nio/channels/SelectionKey;,86,86
BIS,java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;ILjava/lang/Object;)Ljava/nio/channels/SelectionKey;,41,41
BIS,java/nio/channels/SelectionKey.attach(Ljava/lang/Object;)Ljava/lang/Object;,69,69
BIS,java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,253,253
BIS,java/nio/channels/SelectionKey.cancel()V,119,119
BIS,java/nio/channels/SelectionKey.channel()Ljava/nio/channels/SelectableChannel;,61,61
BIS,java/nio/channels/SelectionKey.interestOps()I,202,202
BIS,java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,341,341
BIS,java/nio/channels/SelectionKey.isAcceptable()Z,91,91
BIS,java/nio/channels/SelectionKey.isConnectable()Z,46,46
BIS,java/nio/channels/SelectionKey.isReadable()Z,94,94
BIS,java/nio/channels/SelectionKey.isValid()Z,263,263
BIS,java/nio/channels/SelectionKey.isWritable()Z,149,149
BIS,java/nio/channels/SelectionKey.readyOps()I,73,73
BIS,java/nio/channels/SelectionKey.selector()Ljava/nio/channels/Selector;,52,52
BIS,java/nio/channels/Selector.<init>()V,6,6
BIS,java/nio/channels/Selector.close()V,7,7
BIS,java/nio/channels/Selector.keys()Ljava/util/Set;,26,26
BIS,java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,21,21
BIS,java/nio/channels/Selector.select()I,52,52
BIS,java/nio/channels/Selector.select(J)I,210,210
BIS,java/nio/channels/Selector.selectNow()I,145,145
BIS,java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,119,119
BIS,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,470,470
BIS,java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,86,86
BIS,java/nio/channels/ServerSocketChannel.bind(Ljava/net/SocketAddress;I)Ljava/nio/channels/ServerSocketChannel;,14,14
BIS,java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,3,3
BIS,java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,75,75
BIS,java/nio/channels/ServerSocketChannel.validOps()I,3,3
BIS,java/nio/channels/SocketChannel.connect(Ljava/net/SocketAddress;)Z,53,53
BIS,java/nio/channels/SocketChannel.finishConnect()Z,73,73
BIS,java/nio/channels/SocketChannel.isConnected()Z,139,139
BIS,java/nio/channels/SocketChannel.open()Ljava/nio/channels/SocketChannel;,40,40
BIS,java/nio/channels/SocketChannel.read(Ljava/nio/ByteBuffer;)I,99,99
BIS,java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,294,294
BIS,java/nio/channels/SocketChannel.write(Ljava/nio/ByteBuffer;)I,201,201
BIS,java/nio/channels/WritableByteChannel.write(Ljava/nio/ByteBuffer;)I,171,171
BIS,java/util/concurrent/BlockingQueue.add(Ljava/lang/Object;)Z,64,64
BIS,java/util/concurrent/BlockingQueue.poll(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,119,119
BIS,java/util/concurrent/BlockingQueue.put(Ljava/lang/Object;)V,42,42
BIS,java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,131,131
BIS,java/util/concurrent/Callable.call()Ljava/lang/Object;,111,111
BIS,java/util/concurrent/CompletableFuture.allOf([Ljava/util/concurrent/CompletableFuture;)Ljava/util/concurrent/CompletableFuture;,3,3
BIS,java/util/concurrent/CompletableFuture.complete(Ljava/lang/Object;)Z,50,50
BIS,java/util/concurrent/CompletableFuture.completedFuture(Ljava/lang/Object;)Ljava/util/concurrent/CompletableFuture;,84,84
BIS,java/util/concurrent/CompletableFuture.get()Ljava/lang/Object;,80,80
BIS,java/util/concurrent/CompletableFuture.isDone()Z,96,96
BIS,java/util/concurrent/CompletableFuture.join()Ljava/lang/Object;,46,46
BIS,java/util/concurrent/CompletableFuture.runAsync(Ljava/lang/Runnable;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,59,59
BIS,java/util/concurrent/CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,5,5
BIS,java/util/concurrent/CompletableFuture.thenApply(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,4,4
BIS,java/util/concurrent/CompletableFuture.thenCompose(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,4,4
BIS,java/util/concurrent/CompletableFuture.thenRun(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;,2,2
BIS,java/util/concurrent/CompletableFuture.whenComplete(Ljava/util/function/BiConsumer;)Ljava/util/concurrent/CompletableFuture;,29,29
BIS,java/util/concurrent/CompletionService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,2,2
BIS,java/util/concurrent/CompletionService.take()Ljava/util/concurrent/Future;,2,2
BIS,java/util/concurrent/ConcurrentHashMap.containsKey(Ljava/lang/Object;)Z,250,250
BIS,java/util/concurrent/ConcurrentHashMap.get(Ljava/lang/Object;)Ljava/lang/Object;,347,347
BIS,java/util/concurrent/ConcurrentHashMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,196,196
BIS,java/util/concurrent/ConcurrentHashMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,15,15
BIS,java/util/concurrent/ConcurrentHashMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,93,93
BIS,java/util/concurrent/ConcurrentHashMap.size()I,68,68
BIS,java/util/concurrent/ConcurrentHashMap.values()Ljava/util/Collection;,68,68
BIS,java/util/concurrent/ConcurrentLinkedDeque.offerLast(Ljava/lang/Object;)Z,14,14
BIS,java/util/concurrent/ConcurrentLinkedDeque.pollLast()Ljava/lang/Object;,3,3
BIS,java/util/concurrent/ConcurrentLinkedQueue.add(Ljava/lang/Object;)Z,19,19
BIS,java/util/concurrent/ConcurrentLinkedQueue.iterator()Ljava/util/Iterator;,111,111
BIS,java/util/concurrent/ConcurrentLinkedQueue.offer(Ljava/lang/Object;)Z,38,38
BIS,java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,61,61
BIS,java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,373,373
BIS,java/util/concurrent/ConcurrentMap.remove(Ljava/lang/Object;Ljava/lang/Object;)Z,40,40
BIS,java/util/concurrent/ConcurrentNavigableMap.tailMap(Ljava/lang/Object;Z)Ljava/util/concurrent/ConcurrentNavigableMap;,3,3
BIS,java/util/concurrent/ConcurrentSkipListMap.get(Ljava/lang/Object;)Ljava/lang/Object;,3,3
BIS,java/util/concurrent/ConcurrentSkipListMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,3,3
BIS,java/util/concurrent/CopyOnWriteArrayList.addIfAbsent(Ljava/lang/Object;)Z,10,10
BIS,java/util/concurrent/CopyOnWriteArrayList.clear()V,1,1
BIS,java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,29,29
BIS,java/util/concurrent/CopyOnWriteArraySet.iterator()Ljava/util/Iterator;,4,4
BIS,java/util/concurrent/CountDownLatch.await()V,8,8
BIS,java/util/concurrent/CountDownLatch.await(JLjava/util/concurrent/TimeUnit;)Z,1,1
BIS,java/util/concurrent/CountDownLatch.countDown()V,72,72
BIS,java/util/concurrent/DelayQueue.clear()V,16,16
BIS,java/util/concurrent/DelayQueue.poll()Ljava/util/concurrent/Delayed;,69,69
BIS,java/util/concurrent/Delayed.getDelay(Ljava/util/concurrent/TimeUnit;)J,8,8
BIS,java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,56,56
BIS,java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,308,308
BIS,java/util/concurrent/ExecutorService.isShutdown()Z,48,48
BIS,java/util/concurrent/ExecutorService.shutdown()V,4,4
BIS,java/util/concurrent/ExecutorService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,9,9
BIS,java/util/concurrent/Executors.callable(Ljava/lang/Runnable;Ljava/lang/Object;)Ljava/util/concurrent/Callable;,14,14
BIS,java/util/concurrent/Executors.newCachedThreadPool(Ljava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,10,10
BIS,java/util/concurrent/Executors.newFixedThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,6,6
BIS,java/util/concurrent/Executors.newScheduledThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ScheduledExecutorService;,10,10
BIS,java/util/concurrent/ForkJoinTask.doExec()I,21,21
BIS,java/util/concurrent/ForkJoinTask.doInvoke()I,21,21
BIS,java/util/concurrent/ForkJoinTask.expungeStaleExceptions()V,1,1
BIS,java/util/concurrent/ForkJoinTask.externalInterruptibleAwaitDone()I,2,2
BIS,java/util/concurrent/ForkJoinTask.getRawResult()Ljava/lang/Object;,23,23
BIS,java/util/concurrent/Future.get()Ljava/lang/Object;,11,11
BIS,java/util/concurrent/Future.get(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,2,2
BIS,java/util/concurrent/Future.isCancelled()Z,1,1
BIS,java/util/concurrent/FutureTask.awaitDone(ZJ)I,6,6
BIS,java/util/concurrent/FutureTask.done()V,25,25
BIS,java/util/concurrent/FutureTask.finishCompletion()V,34,34
BIS,java/util/concurrent/FutureTask.report(I)Ljava/lang/Object;,3,3
BIS,java/util/concurrent/FutureTask.set(Ljava/lang/Object;)V,31,31
BIS,java/util/concurrent/LinkedBlockingQueue.drainTo(Ljava/util/Collection;)I,4,4
BIS,java/util/concurrent/LinkedBlockingQueue.iterator()Ljava/util/Iterator;,6,6
BIS,java/util/concurrent/LinkedBlockingQueue.peek()Ljava/lang/Object;,5,5
BIS,java/util/concurrent/LinkedBlockingQueue.poll()Ljava/lang/Object;,27,27
BIS,java/util/concurrent/LinkedBlockingQueue.poll(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,7,7
BIS,java/util/concurrent/LinkedBlockingQueue.size()I,6,6
BIS,java/util/concurrent/LinkedBlockingQueue.take()Ljava/lang/Object;,33,33
BIS,java/util/concurrent/PriorityBlockingQueue.add(Ljava/lang/Object;)Z,24,24
BIS,java/util/concurrent/PriorityBlockingQueue.remove(Ljava/lang/Object;)Z,7,7
BIS,java/util/concurrent/ScheduledExecutorService.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,4,4
BIS,java/util/concurrent/ScheduledThreadPoolExecutor.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,6,6
BIS,java/util/concurrent/ThreadLocalRandom.current()Ljava/util/concurrent/ThreadLocalRandom;,68,68
BIS,java/util/concurrent/ThreadPoolExecutor.getCompletedTaskCount()J,5,5
BIS,java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,251,251
BIS,java/util/concurrent/atomic/AtomicBoolean.get()Z,675,675
BIS,java/util/concurrent/atomic/AtomicBoolean.getAndSet(Z)Z,50,50
BIS,java/util/concurrent/atomic/AtomicBoolean.set(Z)V,79,79
BIS,java/util/concurrent/atomic/AtomicInteger.addAndGet(I)I,31,31
BIS,java/util/concurrent/atomic/AtomicInteger.compareAndSet(II)Z,44,44
BIS,java/util/concurrent/atomic/AtomicInteger.decrementAndGet()I,26,26
BIS,java/util/concurrent/atomic/AtomicInteger.get()I,262,262
BIS,java/util/concurrent/atomic/AtomicInteger.getAndAdd(I)I,1,1
BIS,java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,265,265
BIS,java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,186,186
BIS,java/util/concurrent/atomic/AtomicInteger.intValue()I,8,8
BIS,java/util/concurrent/atomic/AtomicInteger.set(I)V,31,31
BIS,java/util/concurrent/atomic/AtomicIntegerArray.getAndIncrement(I)I,98,98
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.compareAndSet(Ljava/lang/Object;II)Z,141,141
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.get(Ljava/lang/Object;)I,10,10
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.getAndAdd(Ljava/lang/Object;I)I,46,46
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicIntegerFieldUpdater;,57,57
BIS,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.set(Ljava/lang/Object;I)V,61,61
BIS,java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,277,277
BIS,java/util/concurrent/atomic/AtomicLong.compareAndSet(JJ)Z,67,67
BIS,java/util/concurrent/atomic/AtomicLong.decrementAndGet()J,1,1
BIS,java/util/concurrent/atomic/AtomicLong.get()J,471,471
BIS,java/util/concurrent/atomic/AtomicLong.getAndAdd(J)J,10,10
BIS,java/util/concurrent/atomic/AtomicLong.getAndIncrement()J,69,69
BIS,java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,416,416
BIS,java/util/concurrent/atomic/AtomicLong.longValue()J,24,24
BIS,java/util/concurrent/atomic/AtomicLong.set(J)V,110,110
BIS,java/util/concurrent/atomic/AtomicLongFieldUpdater.addAndGet(Ljava/lang/Object;J)J,186,186
BIS,java/util/concurrent/atomic/AtomicLongFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicLongFieldUpdater;,7,7
BIS,java/util/concurrent/atomic/AtomicReference.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;)Z,37,37
BIS,java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;,251,251
BIS,java/util/concurrent/atomic/AtomicReference.getAndSet(Ljava/lang/Object;)Ljava/lang/Object;,2,2
BIS,java/util/concurrent/atomic/AtomicReference.set(Ljava/lang/Object;)V,11,11
BIS,java/util/concurrent/atomic/AtomicReferenceArray.get(I)Ljava/lang/Object;,105,105
BIS,java/util/concurrent/atomic/AtomicReferenceArray.length()I,18,18
BIS,java/util/concurrent/atomic/AtomicReferenceArray.set(ILjava/lang/Object;)V,3,3
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,174,174
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.getAndSet(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,7,7
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicReferenceFieldUpdater;,36,36
BIS,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.set(Ljava/lang/Object;Ljava/lang/Object;)V,39,39
BIS,java/util/concurrent/locks/Condition.await()V,1,1
BIS,java/util/concurrent/locks/Condition.await(JLjava/util/concurrent/TimeUnit;)Z,12,12
BIS,java/util/concurrent/locks/Condition.signal()V,12,12
BIS,java/util/concurrent/locks/Condition.signalAll()V,1,1
BIS,java/util/concurrent/locks/Lock.lock()V,144,144
BIS,java/util/concurrent/locks/Lock.newCondition()Ljava/util/concurrent/locks/Condition;,12,12
BIS,java/util/concurrent/locks/Lock.unlock()V,115,115
BIS,java/util/concurrent/locks/LockSupport.park(Ljava/lang/Object;)V,3,3
BIS,java/util/concurrent/locks/LockSupport.unpark(Ljava/lang/Thread;)V,33,33
BIS,java/util/concurrent/locks/ReentrantLock.lock()V,54,54
BIS,java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,5,5
BIS,java/util/concurrent/locks/ReentrantLock.tryLock()Z,7,7
BIS,java/util/concurrent/locks/ReentrantLock.unlock()V,54,54
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.lock()V,141,141
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.unlock()V,137,137
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,199,199
BIS,java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,197,197
BIS,javax/net/SocketFactory.createSocket()Ljava/net/Socket;,18,18
BIS,javax/net/SocketFactory.createSocket(Ljava/net/InetAddress;I)Ljava/net/Socket;,1,1
OBO,MONITORENTER,1510,1510
OBO,MONITOREXIT,1532,1532
OBO,RUNNABLE_CALLABLE_START,1074,1074
OBO,SYNCHRONIZED_METHOD_ENTER,1158,1158
OBO,SYNCHRONIZED_METHOD_EXIT,1177,1177
OBO,java/io/OutputStream.close()V,66,66
OBO,java/io/OutputStream.flush()V,241,241
OBO,java/lang/Object.notify()V,57,57
OBO,java/lang/Object.notifyAll()V,230,230
OBO,java/lang/Object.wait()V,59,59
OBO,java/lang/Object.wait(J)V,78,78
OBO,java/lang/Object.wait(JI)V,4,4
OBO,java/lang/Runnable.run()V,280,280
OBO,java/lang/System.currentTimeMillis()J,1282,1282
OBO,java/lang/Thread.currentThread()Ljava/lang/Thread;,899,899
OBO,java/lang/Thread.getContextClassLoader()Ljava/lang/ClassLoader;,85,85
OBO,java/lang/Thread.getId()J,5,5
OBO,java/lang/Thread.getName()Ljava/lang/String;,156,156
OBO,java/lang/Thread.getPriority()I,8,8
OBO,java/lang/Thread.getState()Ljava/lang/Thread$State;,2,2
OBO,java/lang/Thread.getThreadGroup()Ljava/lang/ThreadGroup;,17,17
OBO,java/lang/Thread.interrupt()V,90,90
