method,sleepyline.cause,configIdx,test
OBO,java/lang/Thread.interrupted()Z,67,67
OBO,java/lang/Thread.isAlive()Z,12,12
OBO,java/lang/Thread.isDaemon()Z,8,8
OBO,java/lang/Thread.isInterrupted()Z,1,1
OBO,java/lang/Thread.join()V,16,16
OBO,java/lang/Thread.join(J)V,30,30
OBO,java/lang/Thread.setContextClassLoader(Ljava/lang/ClassLoader;)V,15,15
OBO,java/lang/Thread.setDaemon(Z)V,69,69
OBO,java/lang/Thread.setDefaultUncaughtExceptionHandler(Ljava/lang/Thread$UncaughtExceptionHandler;)V,2,2
OBO,java/lang/Thread.setName(Ljava/lang/String;)V,169,169
OBO,java/lang/Thread.setPriority(I)V,19,19
OBO,java/lang/Thread.sleep(J)V,77,77
OBO,java/lang/Thread.start()V,98,98
OBO,java/lang/Thread.stop()V,5,5
OBO,java/lang/Thread.yield()V,13,13
OBO,java/net/ServerSocket.accept()Ljava/net/Socket;,20,20
OBO,java/net/ServerSocket.bind(Ljava/net/SocketAddress;)V,23,23
OBO,java/net/ServerSocket.close()V,10,10
OBO,java/net/ServerSocket.isBound()Z,2,2
OBO,java/net/ServerSocket.isClosed()Z,10,10
OBO,java/net/Socket.connect(Ljava/net/SocketAddress;I)V,32,32
OBO,java/nio/Buffer.limit(I)Ljava/nio/Buffer;,16,16
OBO,java/nio/Buffer.position(I)Ljava/nio/Buffer;,19,19
OBO,java/nio/ByteBuffer.allocate(I)Ljava/nio/ByteBuffer;,255,255
OBO,java/nio/ByteBuffer.allocateDirect(I)Ljava/nio/ByteBuffer;,35,35
OBO,java/nio/ByteBuffer.array()[B,258,258
OBO,java/nio/ByteBuffer.arrayOffset()I,18,18
OBO,java/nio/ByteBuffer.asReadOnlyBuffer()Ljava/nio/ByteBuffer;,1,1
OBO,java/nio/ByteBuffer.compact()Ljava/nio/ByteBuffer;,10,10
OBO,java/nio/ByteBuffer.duplicate()Ljava/nio/ByteBuffer;,31,31
OBO,java/nio/ByteBuffer.get()B,166,166
OBO,java/nio/ByteBuffer.get(I)B,37,37
OBO,java/nio/ByteBuffer.get([B)Ljava/nio/ByteBuffer;,14,14
OBO,java/nio/ByteBuffer.get([BII)Ljava/nio/ByteBuffer;,81,81
OBO,java/nio/ByteBuffer.getInt()I,50,50
OBO,java/nio/ByteBuffer.getInt(I)I,85,85
OBO,java/nio/ByteBuffer.getLong()J,1,1
OBO,java/nio/ByteBuffer.getShort()S,12,12
OBO,java/nio/ByteBuffer.hasArray()Z,10,10
OBO,java/nio/ByteBuffer.order()Ljava/nio/ByteOrder;,6,6
OBO,java/nio/ByteBuffer.order(Ljava/nio/ByteOrder;)Ljava/nio/ByteBuffer;,6,6
OBO,java/nio/ByteBuffer.put(B)Ljava/nio/ByteBuffer;,156,156
OBO,java/nio/ByteBuffer.put(Ljava/nio/ByteBuffer;)Ljava/nio/ByteBuffer;,31,31
OBO,java/nio/ByteBuffer.put([B)Ljava/nio/ByteBuffer;,77,77
OBO,java/nio/ByteBuffer.put([BII)Ljava/nio/ByteBuffer;,55,55
OBO,java/nio/ByteBuffer.putInt(I)Ljava/nio/ByteBuffer;,77,77
OBO,java/nio/ByteBuffer.putLong(J)Ljava/nio/ByteBuffer;,2,2
OBO,java/nio/ByteBuffer.putShort(S)Ljava/nio/ByteBuffer;,12,12
OBO,java/nio/ByteBuffer.slice()Ljava/nio/ByteBuffer;,26,26
OBO,java/nio/ByteBuffer.wrap([B)Ljava/nio/ByteBuffer;,128,128
OBO,java/nio/ByteBuffer.wrap([BII)Ljava/nio/ByteBuffer;,190,190
OBO,java/nio/CharBuffer.allocate(I)Ljava/nio/CharBuffer;,35,35
OBO,java/nio/CharBuffer.array()[C,34,34
OBO,java/nio/CharBuffer.compact()Ljava/nio/CharBuffer;,34,34
OBO,java/nio/CharBuffer.put([CII)Ljava/nio/CharBuffer;,34,34
OBO,java/nio/CharBuffer.toString()Ljava/lang/String;,22,22
OBO,java/nio/CharBuffer.wrap([C)Ljava/nio/CharBuffer;,42,42
OBO,java/nio/channels/DatagramChannel.receive(Ljava/nio/ByteBuffer;)Ljava/net/SocketAddress;,2,2
OBO,java/nio/channels/DatagramChannel.send(Ljava/nio/ByteBuffer;Ljava/net/SocketAddress;)I,2,2
OBO,java/nio/channels/DatagramChannel.socket()Ljava/net/DatagramSocket;,2,2
OBO,java/nio/channels/FileChannel.force(Z)V,23,23
OBO,java/nio/channels/FileChannel.lock(JJZ)Ljava/nio/channels/FileLock;,1,1
OBO,java/nio/channels/FileChannel.map(Ljava/nio/channels/FileChannel$MapMode;JJ)Ljava/nio/MappedByteBuffer;,3,3
OBO,java/nio/channels/FileChannel.position()J,29,29
OBO,java/nio/channels/FileChannel.position(J)Ljava/nio/channels/FileChannel;,3,3
OBO,java/nio/channels/FileChannel.read(Ljava/nio/ByteBuffer;)I,1,1
OBO,java/nio/channels/FileChannel.read(Ljava/nio/ByteBuffer;J)I,1,1
OBO,java/nio/channels/FileChannel.size()J,2,2
OBO,java/nio/channels/FileChannel.transferTo(JJLjava/nio/channels/WritableByteChannel;)J,3,3
OBO,java/nio/channels/FileChannel.tryLock(JJZ)Ljava/nio/channels/FileLock;,2,2
OBO,java/nio/channels/FileChannel.write(Ljava/nio/ByteBuffer;)I,1,1
OBO,java/nio/channels/FileChannel.write(Ljava/nio/ByteBuffer;J)I,23,23
OBO,java/nio/channels/FileLock.channel()Ljava/nio/channels/FileChannel;,1,1
OBO,java/nio/channels/FileLock.release()V,1,1
OBO,java/nio/channels/ReadableByteChannel.read(Ljava/nio/ByteBuffer;)I,59,59
OBO,java/nio/channels/SelectableChannel.configureBlocking(Z)Ljava/nio/channels/SelectableChannel;,24,24
OBO,java/nio/channels/SelectableChannel.provider()Ljava/nio/channels/spi/SelectorProvider;,29,29
OBO,java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;I)Ljava/nio/channels/SelectionKey;,30,30
OBO,java/nio/channels/SelectableChannel.register(Ljava/nio/channels/Selector;ILjava/lang/Object;)Ljava/nio/channels/SelectionKey;,13,13
OBO,java/nio/channels/SelectionKey.attach(Ljava/lang/Object;)Ljava/lang/Object;,140,140
OBO,java/nio/channels/SelectionKey.attachment()Ljava/lang/Object;,182,182
OBO,java/nio/channels/SelectionKey.cancel()V,191,191
OBO,java/nio/channels/SelectionKey.channel()Ljava/nio/channels/SelectableChannel;,99,99
OBO,java/nio/channels/SelectionKey.interestOps()I,144,144
OBO,java/nio/channels/SelectionKey.interestOps(I)Ljava/nio/channels/SelectionKey;,234,234
OBO,java/nio/channels/SelectionKey.isAcceptable()Z,139,139
OBO,java/nio/channels/SelectionKey.isConnectable()Z,57,57
OBO,java/nio/channels/SelectionKey.isReadable()Z,152,152
OBO,java/nio/channels/SelectionKey.isValid()Z,176,176
OBO,java/nio/channels/SelectionKey.isWritable()Z,147,147
OBO,java/nio/channels/SelectionKey.readyOps()I,46,46
OBO,java/nio/channels/SelectionKey.selector()Ljava/nio/channels/Selector;,71,71
OBO,java/nio/channels/Selector.<init>()V,2,2
OBO,java/nio/channels/Selector.close()V,89,89
OBO,java/nio/channels/Selector.isOpen()Z,63,63
OBO,java/nio/channels/Selector.keys()Ljava/util/Set;,85,85
OBO,java/nio/channels/Selector.open()Ljava/nio/channels/Selector;,64,64
OBO,java/nio/channels/Selector.select()I,93,93
OBO,java/nio/channels/Selector.select(J)I,172,172
OBO,java/nio/channels/Selector.selectNow()I,51,51
OBO,java/nio/channels/Selector.selectedKeys()Ljava/util/Set;,199,199
OBO,java/nio/channels/Selector.wakeup()Ljava/nio/channels/Selector;,325,325
OBO,java/nio/channels/ServerSocketChannel.accept()Ljava/nio/channels/SocketChannel;,118,118
OBO,java/nio/channels/ServerSocketChannel.bind(Ljava/net/SocketAddress;I)Ljava/nio/channels/ServerSocketChannel;,2,2
OBO,java/nio/channels/ServerSocketChannel.open()Ljava/nio/channels/ServerSocketChannel;,22,22
OBO,java/nio/channels/ServerSocketChannel.socket()Ljava/net/ServerSocket;,36,36
OBO,java/nio/channels/ServerSocketChannel.validOps()I,1,1
OBO,java/nio/channels/SocketChannel.connect(Ljava/net/SocketAddress;)Z,45,45
OBO,java/nio/channels/SocketChannel.finishConnect()Z,56,56
OBO,java/nio/channels/SocketChannel.isConnected()Z,123,123
OBO,java/nio/channels/SocketChannel.open()Ljava/nio/channels/SocketChannel;,39,39
OBO,java/nio/channels/SocketChannel.read(Ljava/nio/ByteBuffer;)I,114,114
OBO,java/nio/channels/SocketChannel.socket()Ljava/net/Socket;,250,250
OBO,java/nio/channels/SocketChannel.write(Ljava/nio/ByteBuffer;)I,154,154
OBO,java/nio/channels/SocketChannel.write([Ljava/nio/ByteBuffer;II)J,1,1
OBO,java/nio/channels/WritableByteChannel.write(Ljava/nio/ByteBuffer;)I,94,94
OBO,java/util/concurrent/BlockingQueue.add(Ljava/lang/Object;)Z,72,72
OBO,java/util/concurrent/BlockingQueue.drainTo(Ljava/util/Collection;)I,1,1
OBO,java/util/concurrent/BlockingQueue.offer(Ljava/lang/Object;)Z,5,5
OBO,java/util/concurrent/BlockingQueue.poll(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,16,16
OBO,java/util/concurrent/BlockingQueue.put(Ljava/lang/Object;)V,34,34
OBO,java/util/concurrent/BlockingQueue.take()Ljava/lang/Object;,94,94
OBO,java/util/concurrent/Callable.call()Ljava/lang/Object;,83,83
OBO,java/util/concurrent/CompletableFuture.allOf([Ljava/util/concurrent/CompletableFuture;)Ljava/util/concurrent/CompletableFuture;,14,14
OBO,java/util/concurrent/CompletableFuture.complete(Ljava/lang/Object;)Z,71,71
OBO,java/util/concurrent/CompletableFuture.completedFuture(Ljava/lang/Object;)Ljava/util/concurrent/CompletableFuture;,30,30
OBO,java/util/concurrent/CompletableFuture.get()Ljava/lang/Object;,30,30
OBO,java/util/concurrent/CompletableFuture.isDone()Z,30,30
OBO,java/util/concurrent/CompletableFuture.join()Ljava/lang/Object;,56,56
OBO,java/util/concurrent/CompletableFuture.runAsync(Ljava/lang/Runnable;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,58,58
OBO,java/util/concurrent/CompletableFuture.supplyAsync(Ljava/util/function/Supplier;Ljava/util/concurrent/Executor;)Ljava/util/concurrent/CompletableFuture;,4,4
OBO,java/util/concurrent/CompletableFuture.thenApply(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,14,14
OBO,java/util/concurrent/CompletableFuture.thenCompose(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;,9,9
OBO,java/util/concurrent/CompletableFuture.thenRun(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;,7,7
OBO,java/util/concurrent/CompletableFuture.whenComplete(Ljava/util/function/BiConsumer;)Ljava/util/concurrent/CompletableFuture;,24,24
OBO,java/util/concurrent/CompletionService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,2,2
OBO,java/util/concurrent/CompletionService.take()Ljava/util/concurrent/Future;,2,2
OBO,java/util/concurrent/ConcurrentHashMap.clear()V,2,2
OBO,java/util/concurrent/ConcurrentHashMap.containsKey(Ljava/lang/Object;)Z,260,260
OBO,java/util/concurrent/ConcurrentHashMap.entrySet()Ljava/util/Set;,2,2
OBO,java/util/concurrent/ConcurrentHashMap.get(Ljava/lang/Object;)Ljava/lang/Object;,307,307
OBO,java/util/concurrent/ConcurrentHashMap.keySet()Ljava/util/concurrent/ConcurrentHashMap$KeySetView;,5,5
OBO,java/util/concurrent/ConcurrentHashMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,170,170
OBO,java/util/concurrent/ConcurrentHashMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,16,16
OBO,java/util/concurrent/ConcurrentHashMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,115,115
OBO,java/util/concurrent/ConcurrentHashMap.size()I,80,80
OBO,java/util/concurrent/ConcurrentHashMap.values()Ljava/util/Collection;,79,79
OBO,java/util/concurrent/ConcurrentLinkedDeque.addLast(Ljava/lang/Object;)V,1,1
OBO,java/util/concurrent/ConcurrentLinkedDeque.offerLast(Ljava/lang/Object;)Z,8,8
OBO,java/util/concurrent/ConcurrentLinkedDeque.peekFirst()Ljava/lang/Object;,1,1
OBO,java/util/concurrent/ConcurrentLinkedDeque.pollFirst()Ljava/lang/Object;,1,1
OBO,java/util/concurrent/ConcurrentLinkedDeque.pollLast()Ljava/lang/Object;,2,2
OBO,java/util/concurrent/ConcurrentLinkedDeque.size()I,1,1
OBO,java/util/concurrent/ConcurrentLinkedQueue.add(Ljava/lang/Object;)Z,20,20
OBO,java/util/concurrent/ConcurrentLinkedQueue.iterator()Ljava/util/Iterator;,120,120
OBO,java/util/concurrent/ConcurrentLinkedQueue.offer(Ljava/lang/Object;)Z,40,40
OBO,java/util/concurrent/ConcurrentLinkedQueue.poll()Ljava/lang/Object;,32,32
OBO,java/util/concurrent/ConcurrentLinkedQueue.size()I,5,5
OBO,java/util/concurrent/ConcurrentMap.putIfAbsent(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,154,154
OBO,java/util/concurrent/ConcurrentMap.remove(Ljava/lang/Object;Ljava/lang/Object;)Z,10,10
OBO,java/util/concurrent/ConcurrentSkipListMap.get(Ljava/lang/Object;)Ljava/lang/Object;,1,1
OBO,java/util/concurrent/ConcurrentSkipListMap.remove(Ljava/lang/Object;)Ljava/lang/Object;,1,1
OBO,java/util/concurrent/CopyOnWriteArrayList.add(Ljava/lang/Object;)Z,1,1
OBO,java/util/concurrent/CopyOnWriteArrayList.addIfAbsent(Ljava/lang/Object;)Z,8,8
OBO,java/util/concurrent/CopyOnWriteArrayList.clear()V,2,2
OBO,java/util/concurrent/CopyOnWriteArrayList.iterator()Ljava/util/Iterator;,44,44
OBO,java/util/concurrent/CopyOnWriteArraySet.iterator()Ljava/util/Iterator;,1,1
OBO,java/util/concurrent/CountDownLatch.await()V,4,4
OBO,java/util/concurrent/CountDownLatch.await(JLjava/util/concurrent/TimeUnit;)Z,2,2
OBO,java/util/concurrent/CountDownLatch.countDown()V,66,66
OBO,java/util/concurrent/CountDownLatch.getCount()J,1,1
OBO,java/util/concurrent/DelayQueue.clear()V,8,8
OBO,java/util/concurrent/DelayQueue.poll()Ljava/util/concurrent/Delayed;,2,2
OBO,java/util/concurrent/Delayed.getDelay(Ljava/util/concurrent/TimeUnit;)J,2,2
OBO,java/util/concurrent/Executor.execute(Ljava/lang/Runnable;)V,50,50
OBO,java/util/concurrent/ExecutorService.execute(Ljava/lang/Runnable;)V,229,229
OBO,java/util/concurrent/ExecutorService.isShutdown()Z,19,19
OBO,java/util/concurrent/ExecutorService.shutdown()V,6,6
OBO,java/util/concurrent/ExecutorService.submit(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;,3,3
OBO,java/util/concurrent/Executors.callable(Ljava/lang/Runnable;Ljava/lang/Object;)Ljava/util/concurrent/Callable;,6,6
OBO,java/util/concurrent/Executors.newCachedThreadPool(Ljava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,8,8
OBO,java/util/concurrent/Executors.newFixedThreadPool(I)Ljava/util/concurrent/ExecutorService;,1,1
OBO,java/util/concurrent/Executors.newFixedThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ExecutorService;,2,2
OBO,java/util/concurrent/Executors.newScheduledThreadPool(ILjava/util/concurrent/ThreadFactory;)Ljava/util/concurrent/ScheduledExecutorService;,3,3
OBO,java/util/concurrent/ForkJoinTask.doExec()I,20,20
OBO,java/util/concurrent/ForkJoinTask.doInvoke()I,20,20
OBO,java/util/concurrent/ForkJoinTask.externalInterruptibleAwaitDone()I,2,2
OBO,java/util/concurrent/ForkJoinTask.getRawResult()Ljava/lang/Object;,22,22
OBO,java/util/concurrent/Future.get()Ljava/lang/Object;,9,9
OBO,java/util/concurrent/Future.get(JLjava/util/concurrent/TimeUnit;)Ljava/lang/Object;,3,3
OBO,java/util/concurrent/Future.isCancelled()Z,1,1
OBO,java/util/concurrent/FutureTask.awaitDone(ZJ)I,3,3
OBO,java/util/concurrent/FutureTask.done()V,22,22
OBO,java/util/concurrent/FutureTask.finishCompletion()V,22,22
OBO,java/util/concurrent/FutureTask.report(I)Ljava/lang/Object;,3,3
OBO,java/util/concurrent/FutureTask.set(Ljava/lang/Object;)V,23,23
OBO,java/util/concurrent/LinkedBlockingQueue.clear()V,2,2
OBO,java/util/concurrent/LinkedBlockingQueue.iterator()Ljava/util/Iterator;,8,8
OBO,java/util/concurrent/LinkedBlockingQueue.peek()Ljava/lang/Object;,8,8
OBO,java/util/concurrent/LinkedBlockingQueue.poll()Ljava/lang/Object;,24,24
OBO,java/util/concurrent/LinkedBlockingQueue.size()I,8,8
OBO,java/util/concurrent/LinkedBlockingQueue.take()Ljava/lang/Object;,30,30
OBO,java/util/concurrent/PriorityBlockingQueue.add(Ljava/lang/Object;)Z,36,36
OBO,java/util/concurrent/PriorityBlockingQueue.peek()Ljava/lang/Object;,1,1
OBO,java/util/concurrent/PriorityBlockingQueue.remove(Ljava/lang/Object;)Z,23,23
OBO,java/util/concurrent/ScheduledExecutorService.scheduleAtFixedRate(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,1,1
OBO,java/util/concurrent/ScheduledExecutorService.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,2,2
OBO,java/util/concurrent/ScheduledThreadPoolExecutor.schedule(Ljava/lang/Runnable;JLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,1,1
OBO,java/util/concurrent/ScheduledThreadPoolExecutor.scheduleWithFixedDelay(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)Ljava/util/concurrent/ScheduledFuture;,3,3
OBO,java/util/concurrent/ThreadLocalRandom.current()Ljava/util/concurrent/ThreadLocalRandom;,20,20
OBO,java/util/concurrent/ThreadLocalRandom.nextInt()I,1,1
OBO,java/util/concurrent/ThreadPoolExecutor.getCompletedTaskCount()J,3,3
OBO,java/util/concurrent/atomic/AtomicBoolean.compareAndSet(ZZ)Z,86,86
OBO,java/util/concurrent/atomic/AtomicBoolean.get()Z,207,207
OBO,java/util/concurrent/atomic/AtomicBoolean.getAndSet(Z)Z,17,17
OBO,java/util/concurrent/atomic/AtomicBoolean.set(Z)V,64,64
OBO,java/util/concurrent/atomic/AtomicInteger.addAndGet(I)I,15,15
OBO,java/util/concurrent/atomic/AtomicInteger.compareAndSet(II)Z,12,12
OBO,java/util/concurrent/atomic/AtomicInteger.decrementAndGet()I,26,26
OBO,java/util/concurrent/atomic/AtomicInteger.get()I,75,75
OBO,java/util/concurrent/atomic/AtomicInteger.getAndAdd(I)I,1,1
OBO,java/util/concurrent/atomic/AtomicInteger.getAndIncrement()I,108,108
OBO,java/util/concurrent/atomic/AtomicInteger.incrementAndGet()I,196,196
OBO,java/util/concurrent/atomic/AtomicInteger.intValue()I,13,13
OBO,java/util/concurrent/atomic/AtomicInteger.set(I)V,19,19
OBO,java/util/concurrent/atomic/AtomicIntegerArray.getAndIncrement(I)I,115,115
OBO,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.compareAndSet(Ljava/lang/Object;II)Z,36,36
OBO,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.decrementAndGet(Ljava/lang/Object;)I,7,7
OBO,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.get(Ljava/lang/Object;)I,2,2
OBO,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.getAndAdd(Ljava/lang/Object;I)I,11,11
OBO,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicIntegerFieldUpdater;,17,17
OBO,java/util/concurrent/atomic/AtomicIntegerFieldUpdater.set(Ljava/lang/Object;I)V,19,19
OBO,java/util/concurrent/atomic/AtomicLong.addAndGet(J)J,209,209
OBO,java/util/concurrent/atomic/AtomicLong.compareAndSet(JJ)Z,26,26
OBO,java/util/concurrent/atomic/AtomicLong.decrementAndGet()J,1,1
OBO,java/util/concurrent/atomic/AtomicLong.get()J,422,422
OBO,java/util/concurrent/atomic/AtomicLong.getAndAdd(J)J,5,5
OBO,java/util/concurrent/atomic/AtomicLong.getAndIncrement()J,34,34
OBO,java/util/concurrent/atomic/AtomicLong.incrementAndGet()J,426,426
OBO,java/util/concurrent/atomic/AtomicLong.longValue()J,5,5
OBO,java/util/concurrent/atomic/AtomicLong.set(J)V,82,82
OBO,java/util/concurrent/atomic/AtomicLongFieldUpdater.addAndGet(Ljava/lang/Object;J)J,55,55
OBO,java/util/concurrent/atomic/AtomicLongFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicLongFieldUpdater;,2,2
OBO,java/util/concurrent/atomic/AtomicLongFieldUpdater.set(Ljava/lang/Object;J)V,2,2
OBO,java/util/concurrent/atomic/AtomicReference.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;)Z,22,22
OBO,java/util/concurrent/atomic/AtomicReference.get()Ljava/lang/Object;,196,196
OBO,java/util/concurrent/atomic/AtomicReference.getAndSet(Ljava/lang/Object;)Ljava/lang/Object;,2,2
OBO,java/util/concurrent/atomic/AtomicReference.set(Ljava/lang/Object;)V,15,15
OBO,java/util/concurrent/atomic/AtomicReferenceArray.get(I)Ljava/lang/Object;,114,114
OBO,java/util/concurrent/atomic/AtomicReferenceArray.length()I,17,17
OBO,java/util/concurrent/atomic/AtomicReferenceArray.set(ILjava/lang/Object;)V,4,4
OBO,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.compareAndSet(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Z,84,84
OBO,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.getAndSet(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,20,20
OBO,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.newUpdater(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/String;)Ljava/util/concurrent/atomic/AtomicReferenceFieldUpdater;,7,7
OBO,java/util/concurrent/atomic/AtomicReferenceFieldUpdater.set(Ljava/lang/Object;Ljava/lang/Object;)V,15,15
OBO,java/util/concurrent/locks/Condition.await()V,13,13
OBO,java/util/concurrent/locks/Condition.await(JLjava/util/concurrent/TimeUnit;)Z,6,6
OBO,java/util/concurrent/locks/Condition.signal()V,13,13
OBO,java/util/concurrent/locks/Condition.signalAll()V,8,8
OBO,java/util/concurrent/locks/Lock.lock()V,73,73
OBO,java/util/concurrent/locks/Lock.newCondition()Ljava/util/concurrent/locks/Condition;,7,7
OBO,java/util/concurrent/locks/Lock.tryLock()Z,1,1
OBO,java/util/concurrent/locks/Lock.tryLock(JLjava/util/concurrent/TimeUnit;)Z,3,3
OBO,java/util/concurrent/locks/Lock.unlock()V,69,69
OBO,java/util/concurrent/locks/LockSupport.park(Ljava/lang/Object;)V,3,3
OBO,java/util/concurrent/locks/LockSupport.unpark(Ljava/lang/Thread;)V,26,26
OBO,java/util/concurrent/locks/ReentrantLock.lock()V,70,70
OBO,java/util/concurrent/locks/ReentrantLock.newCondition()Ljava/util/concurrent/locks/Condition;,14,14
OBO,java/util/concurrent/locks/ReentrantLock.tryLock()Z,2,2
OBO,java/util/concurrent/locks/ReentrantLock.unlock()V,70,70
OBO,java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.lock()V,148,148
OBO,java/util/concurrent/locks/ReentrantReadWriteLock$ReadLock.unlock()V,148,148
OBO,java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.lock()V,197,197
OBO,java/util/concurrent/locks/ReentrantReadWriteLock$WriteLock.unlock()V,198,198
OBO,javax/net/SocketFactory.createSocket()Ljava/net/Socket;,5,5
OBO,javax/net/SocketFactory.createSocket(Ljava/net/InetAddress;I)Ljava/net/Socket;,1,1
