technique,testName,sec.avg
isolated,tachyon.DataServerTest.readPartialTest1,0.0149859
isolated,tachyon.DataServerTest.readPartialTest2,0.0149895
isolated,tachyon.DataServerTest.readTest,0.0150233
isolated,tachyon.JournalTest.AddBlockTest,0.014123300000001
isolated,tachyon.JournalTest.AddCheckpointTest,0.014356800000001
isolated,tachyon.JournalTest.DeleteTest,0.014083200000001
isolated,tachyon.JournalTest.EmptyImageTest,0.014436500000001
isolated,tachyon.JournalTest.FileFolderTest,0.014265600000001
isolated,tachyon.JournalTest.FileTest,0.014476000000001
isolated,tachyon.JournalTest.FolderTest,0.014067200000001
isolated,tachyon.JournalTest.ManyFileTest,0.014309100000001
isolated,tachyon.JournalTest.RenameTest,0.014266300000001
isolated,tachyon.JournalTest.TableTest,0.013951900000001
isolated,tachyon.MasterClientTest.openCloseTest,0.01496445
isolated,tachyon.MasterFaultToleranceTest.faultTest,0.1445453
isolated,tachyon.MasterFaultToleranceTest.getClientsTest,0.14458875
isolated,tachyon.MasterInfoTest.addCheckpointTest,0.0149317
isolated,tachyon.MasterInfoTest.clientFileInfoDirectoryTest,0.0149923
isolated,tachyon.MasterInfoTest.clientFileInfoEmptyFileTest,0.0149194
isolated,tachyon.MasterInfoTest.createAlreadyExistFileTest,0.0150291
isolated,tachyon.MasterInfoTest.createDirectoryTest,0.01501705
isolated,tachyon.MasterInfoTest.createFileInvalidPathTest,0.0150324
isolated,tachyon.MasterInfoTest.createFilePerfTest,0.0149458
isolated,tachyon.MasterInfoTest.createFileTest,0.015366
isolated,tachyon.MasterInfoTest.createRawTableTest,0.01502275
isolated,tachyon.MasterInfoTest.deleteDirectoryWithDirectoriesTest,0.0149609
isolated,tachyon.MasterInfoTest.deleteDirectoryWithDirectoriesTest2,0.0148901
isolated,tachyon.MasterInfoTest.deleteDirectoryWithFilesTest,0.0148971
isolated,tachyon.MasterInfoTest.deleteDirectoryWithFilesTest2,0.0151314
isolated,tachyon.MasterInfoTest.deleteEmptyDirectoryTest,0.0149939
isolated,tachyon.MasterInfoTest.deleteFileTest,0.01511335
isolated,tachyon.MasterInfoTest.getCapacityBytesTest,0.01517145
isolated,tachyon.MasterInfoTest.lsTest,0.01525445
isolated,tachyon.MasterInfoTest.negativeColumnTest,0.01499875
isolated,tachyon.MasterInfoTest.notFileCheckpointTest,0.0148314
isolated,tachyon.MasterInfoTest.tooManyColumnsTest,0.0149225
isolated,tachyon.WorkerServiceHandlerTest.evictionTest,0.0156855
isolated,tachyon.WorkerServiceHandlerTest.overCapacityRequestSpaceTest,0.015708049999999
isolated,tachyon.WorkerServiceHandlerTest.overReturnSpaceTest,0.015558649999999
isolated,tachyon.WorkerServiceHandlerTest.returnSpaceTest,0.01558435
isolated,tachyon.WorkerServiceHandlerTest.totalOverCapacityRequestSpaceTest,0.01553435
isolated,tachyon.client.BlockInStreamTest.readTest1,0.0150174
isolated,tachyon.client.BlockInStreamTest.readTest2,0.015185
isolated,tachyon.client.BlockInStreamTest.readTest3,0.0151604
isolated,tachyon.client.BlockInStreamTest.skipTest,0.01532105
isolated,tachyon.client.FileInStreamTest.readTest1,0.01513325
isolated,tachyon.client.FileInStreamTest.readTest2,0.0152246
isolated,tachyon.client.FileInStreamTest.readTest3,0.015558699999999
isolated,tachyon.client.FileInStreamTest.skipTest,0.01527065
isolated,tachyon.client.FileOutStreamTest.writeTest1,0.0154731
isolated,tachyon.client.FileOutStreamTest.writeTest2,0.01552465
isolated,tachyon.client.FileOutStreamTest.writeTest3,0.01510795
isolated,tachyon.client.LocalBlockInStreamTest.readTest1,0.01579825
isolated,tachyon.client.LocalBlockInStreamTest.readTest2,0.015502
isolated,tachyon.client.LocalBlockInStreamTest.readTest3,0.01561945
isolated,tachyon.client.LocalBlockInStreamTest.skipTest,0.0153375
isolated,tachyon.client.RemoteBlockInStreamTest.readTest1,0.01556775
isolated,tachyon.client.RemoteBlockInStreamTest.readTest2,0.015831249999999
isolated,tachyon.client.RemoteBlockInStreamTest.readTest3,0.0157521
isolated,tachyon.client.RemoteBlockInStreamTest.readTest4,0.015617849999999
isolated,tachyon.client.RemoteBlockInStreamTest.readTest5,0.01546315
isolated,tachyon.client.RemoteBlockInStreamTest.readTest6,0.015499349999999
isolated,tachyon.client.RemoteBlockInStreamTest.readTest7,0.015511949999999
isolated,tachyon.client.RemoteBlockInStreamTest.skipTest,0.015605749999999
isolated,tachyon.client.TachyonFSTest.createFileTest,0.0151701
isolated,tachyon.client.TachyonFSTest.createFileTest2,0.015563849999999
isolated,tachyon.client.TachyonFSTest.createFileWithCheckpointFileTest,0.0150089
isolated,tachyon.client.TachyonFSTest.createFileWithFileAlreadyExistExceptionTest,0.01525185
isolated,tachyon.client.TachyonFSTest.createFileWithInvalidPathExceptionTest,0.01517835
isolated,tachyon.client.TachyonFSTest.createRawTableTestEmptyMetadata,0.0149489
isolated,tachyon.client.TachyonFSTest.createRawTableTestWithMetadata,0.0148854
isolated,tachyon.client.TachyonFSTest.createRawTableWithFileAlreadyExistExceptionTest,0.01524955
isolated,tachyon.client.TachyonFSTest.createRawTableWithInvalidPathExceptionTest1,0.015618149999999
isolated,tachyon.client.TachyonFSTest.createRawTableWithInvalidPathExceptionTest2,0.01497225
isolated,tachyon.client.TachyonFSTest.createRawTableWithTableColumnExceptionTest1,0.0156966
isolated,tachyon.client.TachyonFSTest.createRawTableWithTableColumnExceptionTest2,0.01512915
isolated,tachyon.client.TachyonFSTest.createRawTableWithTableColumnExceptionTest3,0.01557015
isolated,tachyon.client.TachyonFSTest.deleteFileTest,0.015348599999999
isolated,tachyon.client.TachyonFSTest.lockBlockTest1,0.0150631
isolated,tachyon.client.TachyonFSTest.lockBlockTest2,0.0150704
isolated,tachyon.client.TachyonFSTest.lockBlockTest3,0.015145699999999
isolated,tachyon.client.TachyonFSTest.lockBlockTest4,0.0152489
isolated,tachyon.client.TachyonFSTest.renameFileTest1,0.0149742
isolated,tachyon.client.TachyonFSTest.renameFileTest2,0.01538965
isolated,tachyon.client.TachyonFSTest.renameFileTest3,0.0148743
isolated,tachyon.client.TachyonFSTest.unlockBlockTest1,0.0152119
isolated,tachyon.client.TachyonFSTest.unlockBlockTest2,0.0154691
isolated,tachyon.client.TachyonFSTest.unlockBlockTest3,0.015201899999999
isolated,tachyon.client.TachyonFileTest.isInMemoryTest,0.015396549999999
isolated,tachyon.client.TachyonFileTest.isInMemoryTest2,0.01517685
isolated,tachyon.client.TachyonFileTest.isInMemoryTest3,0.015210999999999
isolated,tachyon.client.TachyonFileTest.writeEmptyFileTest,0.015513049999999
isolated,tachyon.client.table.RawColumnTest.basicTest,0.01511805
isolated,tachyon.client.table.RawTableTest.getColumnsTest,0.0152781
isolated,tachyon.client.table.RawTableTest.getIdTest,0.015244099999999
isolated,tachyon.client.table.RawTableTest.getMetadataTest,0.0152939
isolated,tachyon.client.table.RawTableTest.getNameTest,0.0152064
isolated,tachyon.client.table.RawTableTest.getPathTest,0.015585049999999
isolated,tachyon.client.table.RawTableTest.rawtablePerfTest,0.015177899999999
isolated,tachyon.client.table.RawTableTest.updateMetadataTest,0.01565965
isolated,tachyon.command.TFsShellTest.copyFromLocalLargeTest,0.0151288
isolated,tachyon.command.TFsShellTest.copyFromLocalTest,0.0151733
isolated,tachyon.command.TFsShellTest.copyToLocalLargeTest,0.015169199999999
isolated,tachyon.command.TFsShellTest.copyToLocalTest,0.01498595
isolated,tachyon.command.TFsShellTest.fileinfoTest,0.01491885
isolated,tachyon.command.TFsShellTest.locationTest,0.01501215
isolated,tachyon.command.TFsShellTest.mkdirComplexPathTest,0.01507785
isolated,tachyon.command.TFsShellTest.mkdirExistingTest,0.01544545
isolated,tachyon.command.TFsShellTest.mkdirInvalidPathTest,0.01519115
isolated,tachyon.command.TFsShellTest.mkdirShortPathTest,0.0151137
isolated,tachyon.command.TFsShellTest.mkdirTest,0.0150973
isolated,tachyon.command.TFsShellTest.renameParentDirectoryTest,0.0151691
isolated,tachyon.command.TFsShellTest.renameTest,0.0152037
isolated,tachyon.command.TFsShellTest.renameToExistingFileTest,0.0150363
isolated,tachyon.command.TFsShellTest.rmNotExistingFileTest,0.015123449999999
isolated,tachyon.command.TFsShellTest.rmTest,0.01496505
isolated,org.activiti.engine.test.api.event.ActivityEventsTest.testActivityTimeOutEvent,2.8683618
isolated,org.activiti.engine.test.api.event.JobEventsTest.testTimerFiredForIntermediateTimer,1.8180918
isolated,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest.testDelayedActivateProcessDefinition,1.8296142
isolated,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest.testDelayedSuspendMultipleProcessDefinitionsByKey,2.5257646
isolated,org.activiti.engine.test.api.repository.ProcessDefinitionSuspensionTest.testSuspendProcessInstancesDuringProcessDefinitionSuspend,1.9471461
isolated,org.activiti.engine.test.api.task.TaskServiceTest.testGetVariableByHistoricActivityInstance,1.7432919
isolated,org.activiti.engine.test.bpmn.async.AsyncExclusiveJobsTest.testExclusiveJobs,15.2366598
isolated,org.activiti.engine.test.bpmn.async.AsyncTaskTest.testAsyncTask,1.9005019
isolated,org.activiti.engine.test.bpmn.async.AsyncTaskTest.testBasicAsyncCallActivity,1.9754857
isolated,org.activiti.engine.test.bpmn.event.end.TerminateEndEventTest.testTerminateInSubProcessWithBoundary,1.8907809
isolated,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerEventTest.testExpressionOnTimer,1.8484853
isolated,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerEventTest.testMultipleTimersOnUserTask,1.858276
isolated,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerNonInterruptingEventTest.testJoin,1.8161176
isolated,org.activiti.engine.test.bpmn.event.timer.BoundaryTimerNonInterruptingEventTest.testMultipleTimersOnUserTask,1.8666496
isolated,org.activiti.engine.test.bpmn.event.timer.IntermediateTimerEventTest.testCatchingTimerEvent,1.772798
isolated,org.activiti.engine.test.bpmn.event.timer.IntermediateTimerEventTest.testTimerEventWithStartAndDuration,1.8646891
isolated,org.activiti.engine.test.bpmn.event.timer.StartTimerEventRepeatWithEndTest.testCycleDateStartTimerEvent,2.6119461
isolated,org.activiti.engine.test.bpmn.event.timer.StartTimerEventTest.testDurationStartTimerEvent,1.9152378
isolated,org.activiti.engine.test.bpmn.event.timer.compatibility.BoundaryTimerEventRepeatCompatibilityTest.testRepeatWithoutEnd,3.9654153
isolated,org.activiti.engine.test.bpmn.event.timer.compatibility.StartTimerEventRepeatCompatibilityTest.testCycleDateStartTimerEvent,12.0425467
isolated,org.activiti.engine.test.bpmn.exclusive.ExclusiveTimerEventTest.testCatchingTimerEvent,3.606834
isolated,org.activiti.engine.test.bpmn.gateway.EventBasedGatewayTest.testCatchTimerCancelsSignal,1.8875291
isolated,org.activiti.engine.test.bpmn.subprocess.SubProcessTest.testNestedSimpleSubprocessWithTimerOnInnerSubProcess,1.8228005
isolated,org.activiti.engine.test.bpmn.subprocess.SubProcessTest.testSimpleSubProcessWithTimer,2.2466808
isolated,org.activiti.engine.test.history.HistoricVariableInstanceTest.testHistoricVariableQueryByTaskIds,1.7393462
isolated,org.activiti.engine.test.jobexecutor.AsyncExecutorTest.testAsyncExecutorDisabledOnOneEngine,2.8442862
isolated,org.activiti.engine.test.jobexecutor.AsyncExecutorTest.testAsyncFailingScript,4.644579
isolated,org.activiti.engine.test.jobexecutor.AsyncExecutorTest.testRegularAsyncExecution,3.1564832
isolated,org.activiti.engine.test.jobexecutor.JobExecutorExceptionsTest.testQueryByExceptionWithRealJobExecutor,2.1644583
isolated,org.activiti.engine.test.jobexecutor.JobExecutorTest.testBasicJobExecutorOperation,1.775079
isolated,org.activiti.spring.test.jobexecutor.SpringAsyncExecutorTest.testHappyJobExecutorPath,2.0973444999999
isolated,org.activiti.spring.test.servicetask.ServiceTaskSpringDelegationTest.testAsyncMethodExpressionOnSpringBean,2.5825861
isolated,org.apache.ambari.server.agent.TestActionQueue.testConcurrentOperations,0.2830502
isolated,org.apache.ambari.server.bootstrap.BootStrapTest.testRun,0.0118666
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testClientServiceSmokeTests,2.381585
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testConfigUpdates,2.3699998
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateActions,2.3100147
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateAndGetUsers,1.9090689
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateClusterSimple,1.937397
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateClusterWithDesiredClusterConfigs,1.7582558
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateClusterWithHostMapping,1.9951081
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateClusterWithInvalidRequest,1.7694695
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateClusterWithInvalidStack,1.7635514
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateHostMultiple,2.0383858
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateHostSimple,2.0159732
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateHostWithInvalidRequests,1.9341211
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceComponentHostMultiple,2.0845388
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceComponentHostSimple,2.1339894
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceComponentHostWithInvalidRequest,2.1735953
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceComponentMultiple,1.9923598
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceComponentSimple,1.9836995
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceComponentWithConfigs,1.7666671
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceComponentWithInvalidRequest,1.9974919
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServiceWithInvalidInfo,1.949003
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServicesMultiple,1.9575786
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServicesSimple,1.9411190108192
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testCreateServicesWithInvalidRequest,1.9989191
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testDeleteUsers,1.9722865
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetActions,1.7619923
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetClusters,1.910708
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetClustersWithFilters,1.9393461
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetHosts,2.0194509
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetRequestAndTaskStatus,2.1459046
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetServiceComponentHosts,2.0205159
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetServiceComponentHostsWithFilters,2.1728422
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetServiceComponents,1.9681961
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetServiceComponentsWithFilters,2.0114979
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetServices,1.9345474
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetServicesWithFilters,1.9708004
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testGetUsers,1.942577
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testInstallAndStartService,2.7959145
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testRcaOnJobtrackerHost,2.5831916
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testServiceComponentHostUpdateRecursive,2.5014983
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testServiceComponentUpdateRecursive,2.6059084
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testServiceUpdateBasic,1.9613403
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testServiceUpdateInvalidRequest,1.9776133
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testServiceUpdateInvalidUpdates,1.7579491
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testServiceUpdateRecursive,2.6325683
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testStartClientComponent,1.7832812
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testStartClientHostComponent,1.7532563
isolated,org.apache.ambari.server.controller.AmbariManagementControllerTest.testUpdateUsers,1.9522206
isolated,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest.testAuthenticate,1.4291737191737
isolated,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest.testBadCredential,0.15772508872509
isolated,org.apache.commons.exec.DefaultExecutorTest.testExecuteAsyncWithProcessDestroyer,2.1050277999997
isolated,org.apache.hadoop.hbase.TestEmptyMetaInfo.testEmptyMetaInfo,104.41324052598
isolated,org.apache.hadoop.hbase.TestInfoServers.testInfoServersAreUp,109.32641222015
isolated,org.apache.hadoop.hbase.TestMergeMeta.testMergeMeta,107.29284256233
isolated,org.apache.hadoop.hbase.TestMergeTable.testMergeTable,108.11099049621
isolated,org.apache.hadoop.hbase.TestMultiParallelPut.testMultiPut,103.24371990696
isolated,org.apache.hadoop.hbase.TestScanMultipleVersions.testScanMultipleVersions,102.19496890453
isolated,org.apache.hadoop.hbase.TestZooKeeper.testRegionServerSessionExpired,33.000003468103
isolated,org.apache.hadoop.hbase.client.TestAdmin.testCreateBadTables,1.0087337918386
isolated,org.apache.hadoop.hbase.client.TestAdmin.org.apache.hadoop.hbase.client.TestAdmin,5.261
isolated,org.apache.hadoop.hbase.client.TestAdmin.testCreateTable,0.33474211587826
isolated,org.apache.hadoop.hbase.client.TestAdmin.testCreateTableWithRegions,1.2153282183221
isolated,org.apache.hadoop.hbase.client.TestAdmin.testEnableDisableAddColumnDeleteColumn,0.66086711752878
isolated,org.apache.hadoop.hbase.client.TestAdmin.testForceSplit,6.6467974869302
isolated,org.apache.hadoop.hbase.client.TestAdmin.testGetTableDescriptor,0.34848136588948
isolated,org.apache.hadoop.hbase.client.TestAdmin.testReadOnlyTable,0.33143944668377
isolated,org.apache.hadoop.hbase.client.TestAdmin.testTableNameClash,0.63013233949149
isolated,org.apache.hadoop.hbase.client.TestAdmin.testTableNotFoundExceptionWithATable,0.33131602860749
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testDeletes,5.1304495706194
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testFilters,5.0945553625309
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testGetClosestRowBefore,5.0822355575868
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testGet_EmptyTable,5.0763121234253
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testGet_NonExistentRow,5.077765158454
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testHBase737,8.1726823378761
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testJiraTest1014,5.0781894140233
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testJiraTest1182,5.1547942492012
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testJiraTest33,5.1587437185929
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testJiraTest52,5.1466292772186
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testJiraTest861,5.1765352073986
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testJiraTest867,5.5748459136823
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testListTables,15.196642738818
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testMiscHTableStuff,15.190844548201
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testRowsPut,5.0904512133891
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testRowsPutBufferedManyManyFlushes,5.1326247718145
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testRowsPutBufferedOneFlush,5.1387648616565
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testSimpleMissing,5.1010227563517
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testSingleRowMultipleFamily,5.4701288051924
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testVersionLimits,5.1088668190129
isolated,org.apache.hadoop.hbase.client.TestFromClientSide.testVersions,5.2191882482962
isolated,org.apache.hadoop.hbase.client.TestGetRowVersions.testGetRowMultipleVersions,109.82244809341
isolated,org.apache.hadoop.hbase.client.TestScannerTimeout.test2481,6.5805882673943
isolated,org.apache.hadoop.hbase.client.TestTimestamp.testTimestamps,119.32998758104
isolated,org.apache.hadoop.hbase.io.hfile.TestLruBlockCache.testBackgroundEvictionThread,1.0849142
isolated,org.apache.hadoop.hbase.mapred.TestTableMapReduce.testMultiRegionTable,99.36442051871
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanEmptyToAPP,1.0984348017234
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanEmptyToBBA,1.0963145606844
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanEmptyToBBB,1.1045103039428
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanEmptyToEmpty,0.031916988416988
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanEmptyToOPP,0.030656884875846
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanOBBToOPP,1.0955848471422
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanOBBToQPP,1.0978402514468
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanOPPToEmpty,0.029454545454545
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanYYXToEmpty,1.1021176580446
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanYYYToEmpty,1.1022700788813
isolated,org.apache.hadoop.hbase.mapreduce.TestTableInputFormatScan.testScanYZYToEmpty,1.1014557000302
isolated,org.apache.hadoop.hbase.mapreduce.TestTableMapReduce.testMultiRegionTable,100.96946613621
isolated,org.apache.hadoop.hbase.mapreduce.TestTimeRangeMapRed.testTimeRangeMapRed,105.48948235986
isolated,org.apache.hadoop.hbase.master.TestMasterTransitions.testAddingServerBeforeOldIsDead2413,8.7999184359248
isolated,org.apache.hadoop.hbase.master.TestMasterTransitions.testKillRSWithOpeningRegion2482,8.220570028169
isolated,org.apache.hadoop.hbase.master.TestMasterTransitions.testRegionCloseWhenNoMetaHBase2428,14.122669690396
isolated,org.apache.hadoop.hbase.master.TestMasterWithDisabling.testDisableBetweenSplit,25.281154906435
isolated,org.apache.hadoop.hbase.master.TestMinimumServerCount.testMinimumServerCount,123.04374024079
isolated,org.apache.hadoop.hbase.master.TestRegionManager.testGetFirstMetaRegionForRegionAfterMetaSplit,116.38276591055
isolated,org.apache.hadoop.hbase.regionserver.TestCompaction.testCompaction,98.964362394015
isolated,org.apache.hadoop.hbase.regionserver.TestCompaction.testMajorCompactingToNoOutput,114.53848023093
isolated,org.apache.hadoop.hbase.regionserver.TestGetClosestAtOrBefore.testGetClosestRowBefore2,118.91271802802
isolated,org.apache.hadoop.hbase.regionserver.TestGetClosestAtOrBefore.testGetClosestRowBefore3,111.1742925498
isolated,org.apache.hadoop.hbase.regionserver.TestGetClosestAtOrBefore.testUsingMetaAndBinary,109.18699505366
isolated,org.apache.hadoop.hbase.regionserver.TestGetDeleteTracker.testIsDeleted_NotDeleted,0.068834100000001
isolated,org.apache.hadoop.hbase.regionserver.TestHRegion.testWritesWhileGetting,1.343379
isolated,org.apache.hadoop.hbase.regionserver.TestScanner.testFilters,104.03244669045
isolated,org.apache.hadoop.hbase.regionserver.TestScanner.testRaceBetweenClientAndTimeout,106.6731533346
isolated,org.apache.hadoop.hbase.regionserver.TestScanner.testScanAndRealConcurrentFlush,121.71642729038
isolated,org.apache.hadoop.hbase.regionserver.TestScanner.testScanAndSyncFlush,107.64294499255
isolated,org.apache.hadoop.hbase.regionserver.TestScanner.testScanner,113.86845530773
isolated,org.apache.hadoop.hbase.regionserver.TestScanner.testStopRow,105.97314693728
isolated,org.apache.hadoop.hbase.regionserver.TestStoreFile.testBasicHalfMapFile,117.5587746902
isolated,org.apache.hadoop.hbase.regionserver.TestStoreFile.testReference,118.78277372936
isolated,org.apache.hadoop.hbase.regionserver.TestStoreReconstruction.runReconstructionLog,120.24206050405
isolated,org.apache.hadoop.hbase.regionserver.TestWideScanner.testWideScanBatching,114.71242886537
isolated,org.apache.hadoop.hbase.regionserver.wal.TestHLog.testAppend,108.91325096744
isolated,org.apache.hadoop.hbase.regionserver.wal.TestHLog.testEditAdd,118.66480915168
isolated,org.apache.hadoop.hbase.regionserver.wal.TestHLog.testFindMemstoresWithEditsOlderThan,121.77035031556
isolated,org.apache.hadoop.hbase.regionserver.wal.TestHLog.testSplit,119.56982586511
isolated,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling.testLogRollOnDatanodeDeath,110.90467087772
isolated,org.apache.hadoop.hbase.stargate.Test00MiniCluster.testDFSMiniCluster,112.10125361989
isolated,org.apache.hadoop.hbase.stargate.Test00MiniCluster.testHBaseMiniCluster,111.29083753527
isolated,org.apache.hadoop.hbase.stargate.Test00MiniCluster.testStargateServlet,117.69865196435
isolated,org.apache.hadoop.hbase.stargate.Test00MiniCluster.testZooKeeperMiniCluster,126.7840918451
isolated,org.apache.hadoop.hbase.stargate.TestRowResource.testDelete,112.68722468724
isolated,org.apache.hadoop.hbase.stargate.TestRowResource.testMultiCellGetPutPB,114.08688742384
isolated,org.apache.hadoop.hbase.stargate.TestRowResource.testMultiCellGetPutXML,109.8482838
isolated,org.apache.hadoop.hbase.stargate.TestRowResource.testSingleCellGetJSON,105.37597099736
isolated,org.apache.hadoop.hbase.stargate.TestRowResource.testSingleCellGetPutBinary,122.35553304846
isolated,org.apache.hadoop.hbase.stargate.TestRowResource.testSingleCellGetPutPB,113.86477484769
